id;name;email;gender;type_user;date_birty;platform
25;"Ítalo Benites";benites-italo@yahoo.com.br;male;Profissional;2011-08-12;MOBILE
26;"Giovana Fidalgo";fidalgo.giovana@outlook.com;female;Profissional;1998-05-30;PC
27;"Sebastião Sanches";sebastiao_28@icloud.com;male;Casual;1993-02-08;MOBILE
28;"Fernanda Flores";flores.flores@hotmail.com;female;Casual;2000-09-24;MOBILE
29;"Pérola Marés";perola-36@yahoo.com.br;female;Casual;2003-10-19;CONSOLE
30;"Norma Vieira";vieira_32@gmail.com;female;Casual;2013-11-03;CONSOLE
31;"Marta de Oliveira";marta2015marta@gmail.com;female;Casual;2007-12-31;CONSOLE
32;"Agostinho Marés";agostinho.agostinho@uol.com.br;male;Casual;1998-09-11;PC
33;"Walter Galindo";walter.galindo@yahoo.com.br;male;Profissional;1998-08-07;PC
34;"Sophia Solano";solano-solano@yahoo.com.br;female;Profissional;2013-11-29;MOBILE
35;"Alonso Gonçalves";alonsoalonsogoncalves@yahoo.com.br;male;Profissional;1997-12-19;MOBILE
36;"Gilberto Caldeira";gilberto-gilberto@yahoo.com.br;male;Casual;2012-12-02;MOBILE
37;"Tatiane Leal";tatiane.52@uol.com.br;female;Casual;2009-10-06;MOBILE
38;"Guilherme Prado";prado_2006@yahoo.com.br;male;Profissional;1995-08-11;MOBILE
39;"Hugo Salas";hugo-1994@yahoo.com.br;male;Profissional;2001-04-29;PC
40;"Stefany D'ávila";stefany_stefany@gmail.com;female;Profissional;2010-10-17;PC
41;"Patrícia Benez";benez-patricia@outlook.com;female;Profissional;1991-05-31;CONSOLE
42;"Wesley Godói";wesley_wesley@uol.com.br;male;Casual;2013-06-25;MOBILE
43;"Martinho Caldeira";martinho-caldeira@icloud.com;male;Casual;2003-07-25;PC
44;"Carlos Neves";carlos.60@icloud.com;male;Casual;2008-11-11;CONSOLE
45;"Silvana Duarte";duarte-2010@icloud.com;female;Casual;1995-10-15;CONSOLE
46;"Gabriel Queirós";queiros198911@outlook.com;male;Casual;2002-08-09;MOBILE
47;"Denise Uchoa";denise_2007@icloud.com;female;Profissional;2004-12-22;MOBILE
48;"Walter Galhardo";waltergalhardo70@uol.com.br;male;Casual;1997-12-16;CONSOLE
49;"Martinho Madeira";martinho-1997@gmail.com;male;Profissional;1999-05-12;PC
50;"Mário Azevedo";marioazevedoazevedo@gmail.com;male;Profissional;1995-09-28;MOBILE
51;"Heloísa Martines";heloisa-1979@gmail.com;female;Casual;2000-05-18;PC
52;"Inácio Neves";neves_inacio@outlook.com;male;Casual;2007-10-23;PC
53;"Gean Caldeira";caldeira-gean@icloud.com;male;Profissional;2012-02-27;CONSOLE
54;"Flávio Tamoio";flavio-2008@yahoo.com.br;male;Profissional;1999-02-24;MOBILE
55;"Maiara Padilha";padilha.2017@gmail.com;female;Casual;1999-09-02;PC
56;"Rodolfo Marés";mares.mares@icloud.com;male;Casual;2007-06-22;PC
57;"Bruno Dominato";dominato_1985@icloud.com;male;Profissional;2011-11-30;CONSOLE
58;"Joaquin Maldonado";maldonado_joaquin@yahoo.com.br;male;Casual;2001-04-03;PC
59;"Cauan Colaço";colaco_99@hotmail.com;male;Profissional;1990-03-02;PC
60;"Márcio Colaço";marcio_marcio@gmail.com;male;Casual;2000-02-14;CONSOLE
61;"Dante Soares";dante-71@uol.com.br;male;Profissional;2012-03-22;CONSOLE
62;"Débora Gonçalves";goncalves-1995@yahoo.com.br;female;Profissional;2009-09-01;PC
63;"Elis Espinoza";elis_2017@yahoo.com.br;female;Profissional;2012-09-12;CONSOLE
64;"Jácomo Sandoval";sandoval.jacomo@gmail.com;male;Casual;1991-04-23;PC
65;"Gisela Santacruz";giselagiselagisela@hotmail.com;female;Casual;2002-11-10;MOBILE
66;"Noa Salas";noa_salas@outlook.com;female;Profissional;2000-12-28;MOBILE
67;"Madalena Paes";paes-paes@hotmail.com;female;Casual;1998-01-23;MOBILE
68;"Cláudio Campos";camposclaudio80@hotmail.com;male;Casual;2001-07-02;CONSOLE
69;"Vinícius Espinoza";vinicius-vinicius@outlook.com;male;Casual;1999-12-08;CONSOLE
70;"Allison Ferraz";allison-ferraz@outlook.com;female;Casual;2010-06-04;MOBILE
71;"Analu de Arruda";de-arruda_1992@outlook.com;female;Casual;2011-06-06;PC
72;"Rogério Ferreira";ferreira_rogerio@yahoo.com.br;male;Profissional;2012-12-15;PC
73;"Laiane Solano";solano_laiane@gmail.com;female;Profissional;1993-09-04;PC
74;"Nicolas Zamana";zamananicolaszamana@gmail.com;male;Casual;1997-05-28;CONSOLE
75;"Luan Amaral";amaral.luan@gmail.com;male;Casual;2013-10-03;CONSOLE
76;"Allison Benez";benez.1971@icloud.com;female;Profissional;2004-07-02;MOBILE
77;"Sandro Aranda";aranda-sandro@uol.com.br;male;Profissional;2013-10-21;CONSOLE
78;"Sueli das Dores";sueli-sueli@outlook.com;female;Casual;2001-01-01;PC
79;"Thaís Garcia";thais_thais@outlook.com;female;Casual;1997-01-21;CONSOLE
80;"Mia Ferreira";ferreira9170ferreira@outlook.com;female;Casual;1998-11-16;CONSOLE
81;"Kauan Duarte";kauan-kauan@yahoo.com.br;male;Casual;1998-12-26;PC
82;"Manuela Quintana";manuela-1999@gmail.com;female;Casual;1990-05-31;MOBILE
83;"Julieta Estrada";estrada_1994@yahoo.com.br;female;Profissional;2000-07-07;PC
84;"Pâmela Urias";uriaspamelapamela@outlook.com;female;Casual;2003-08-10;CONSOLE
85;"Maitê Flores";maite.flores@outlook.com;female;Casual;1990-03-04;PC
86;"Wagner Santana";wagner_wagner@outlook.com;male;Profissional;1998-02-28;MOBILE
87;"Cíntia Colaço";colaco_colaco@icloud.com;female;Profissional;1996-06-01;CONSOLE
88;"Fernanda Brito";fernandabrito2005@outlook.com;female;Casual;2000-04-28;CONSOLE
89;"Sebastião Bezerra";bezerra_15@hotmail.com;male;Profissional;2007-05-19;CONSOLE
90;"Regina Valdez";valdez_2017@yahoo.com.br;female;Casual;2005-04-28;PC
91;"Lia Pereira";pereira-1994@uol.com.br;female;Profissional;2013-09-10;PC
92;"Isaac Garcia";isaac.66@outlook.com;male;Profissional;1998-09-28;PC
93;"Rosana Rico";ricorosanarico@yahoo.com.br;female;Profissional;2010-06-14;PC
94;"Verônica Ramos";veronica_ramos@gmail.com;female;Profissional;2001-03-04;CONSOLE
95;"Heitor Branco";heitor20012013@gmail.com;male;Casual;1993-04-22;CONSOLE
96;"Gabriel Saito";saito.1985@icloud.com;male;Profissional;2012-09-03;MOBILE
97;"Cléber da Rosa";cleber-cleber@hotmail.com;male;Casual;2013-09-23;MOBILE
98;"Mary Mendonça";mary.75@uol.com.br;female;Casual;1997-05-24;CONSOLE
99;"Benedito Ramires";ramires.ramires@gmail.com;male;Profissional;1996-10-05;PC
100;"Carolina Faro";carolina.1971@yahoo.com.br;female;Casual;1998-03-09;MOBILE
101;"Andressa Mendes";mendesmendes25@hotmail.com;female;Profissional;1994-12-11;PC
102;"Luciano Vasques";vasques.17@gmail.com;male;Profissional;2008-03-15;MOBILE
103;"Paulina Assunção";assuncao_paulina@gmail.com;female;Casual;2003-12-12;MOBILE
104;"Santiago Rangel";santiago-1973@yahoo.com.br;male;Casual;1991-03-27;PC
105;"Alessandro Gonçalves";goncalves_goncalves@yahoo.com.br;male;Profissional;2001-05-03;PC
106;"Marco Santana";santana-marco@outlook.com;male;Casual;1996-11-08;MOBILE
107;"Violeta da Rosa";da-rosa-da-rosa@icloud.com;female;Casual;2000-09-28;CONSOLE
